n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
30,10.569105691056912,70.84468664850137,367,492,ETS,qwen,maryland,P6,3609844797,1,[3]
50,10.569105691056912,70.84468664850137,367,492,ETS,qwen,maryland,P6,3609844797,1,[3]
200,5.487804878048781,59.12806539509536,367,492,ETS,qwen,maryland,P6,3609844797,1,[3]
30,0.40650406504065045,31.70731707317073,369,492,ETS,qwen,maryland,P6,1067841243,1,[3]
50,1.0162601626016259,47.696476964769644,369,492,ETS,qwen,maryland,P6,1067841243,1,[3]
200,3.4552845528455287,57.18157181571816,369,492,ETS,qwen,maryland,P6,1067841243,1,[3]
30,1.0223048327137547,31.21761658031088,772,1076,ETS,qwen,maryland,P7,959183449,1,[3]
50,1.858736059479554,35.880829015544045,772,1076,ETS,qwen,maryland,P7,959183449,1,[3]
200,5.762081784386617,59.97409326424871,772,1076,ETS,qwen,maryland,P7,959183449,1,[3]
30,0.0,1.7082785808147174,761,1076,ETS,qwen,maryland,P7,1457248422,1,[3]
50,2.8810408921933086,45.860709592641264,761,1076,ETS,qwen,maryland,P7,1457248422,1,[3]
200,5.204460966542751,60.183968462549274,761,1076,ETS,qwen,maryland,P7,1457248422,1,[3]
30,5.5762081784386615,60.51948051948052,770,1076,ETS,qwen,maryland,P7,642571064,1,[3]
50,4.646840148698884,55.84415584415584,770,1076,ETS,qwen,maryland,P7,642571064,1,[3]
200,4.275092936802974,53.896103896103895,770,1076,ETS,qwen,maryland,P7,642571064,1,[3]
30,5.390334572490707,60.34712950600801,749,1076,ETS,qwen,maryland,P7,3609844797,1,[3]
50,3.4386617100371746,46.86248331108144,749,1076,ETS,qwen,maryland,P7,3609844797,1,[3]
200,5.390334572490707,59.813084112149525,749,1076,ETS,qwen,maryland,P7,3609844797,1,[3]
30,2.973977695167286,46.34794156706507,753,1076,ETS,qwen,maryland,P7,1067841243,1,[3]
50,3.3457249070631967,50.59760956175299,753,1076,ETS,qwen,maryland,P7,1067841243,1,[3]
200,2.0446096654275094,41.03585657370518,753,1076,ETS,qwen,maryland,P7,1067841243,1,[3]
30,4.045155221072436,56.32022471910112,712,1063,ETS,qwen,maryland,P8,959183449,1,[3]
50,4.327375352775165,57.58426966292135,712,1063,ETS,qwen,maryland,P8,959183449,1,[3]
200,4.327375352775165,57.58426966292135,712,1063,ETS,qwen,maryland,P8,959183449,1,[3]
30,2.539981185324553,46.99300699300699,715,1063,ETS,qwen,maryland,P8,1457248422,1,[3]
