n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
50,4.21455938697318,70.47619047619048,525,783,ETS,qwen,openai,P3,642571064,1,[3]
200,7.2796934865900385,79.23809523809524,525,783,ETS,qwen,openai,P3,642571064,1,[3]
30,0.8939974457215836,46.880907372400756,529,783,ETS,qwen,openai,P3,3609844797,1,[3]
50,1.6602809706257982,55.3875236294896,529,783,ETS,qwen,openai,P3,3609844797,1,[3]
200,6.896551724137931,79.20604914933837,529,783,ETS,qwen,openai,P3,3609844797,1,[3]
30,4.725415070242656,75.88785046728972,535,783,ETS,qwen,openai,P3,1067841243,1,[3]
50,4.725415070242656,75.88785046728972,535,783,ETS,qwen,openai,P3,1067841243,1,[3]
200,6.002554278416347,77.94392523364486,535,783,ETS,qwen,openai,P3,1067841243,1,[3]
30,1.3528748590755355,61.986301369863014,584,887,ETS,qwen,openai,P4,959183449,1,[3]
50,4.058624577226606,79.62328767123287,584,887,ETS,qwen,openai,P4,959183449,1,[3]
200,4.058624577226606,79.7945205479452,584,887,ETS,qwen,openai,P4,959183449,1,[3]
30,5.411499436302142,80.03300330033002,606,887,ETS,qwen,openai,P4,1457248422,1,[3]
50,5.411499436302142,80.03300330033002,606,887,ETS,qwen,openai,P4,1457248422,1,[3]
200,5.411499436302142,80.03300330033002,606,887,ETS,qwen,openai,P4,1457248422,1,[3]
30,0.7891770011273956,54.6875,576,887,ETS,qwen,openai,P4,642571064,1,[3]
50,0.9019165727170236,58.854166666666664,576,887,ETS,qwen,openai,P4,642571064,1,[3]
200,2.142051860202931,73.78472222222221,576,887,ETS,qwen,openai,P4,642571064,1,[3]
30,2.029312288613303,68.99488926746167,587,887,ETS,qwen,openai,P4,3609844797,1,[3]
50,2.480270574971815,72.40204429301534,587,887,ETS,qwen,openai,P4,3609844797,1,[3]
200,3.8331454340473505,79.21635434412265,587,887,ETS,qwen,openai,P4,3609844797,1,[3]
30,2.254791431792559,69.81450252951096,593,887,ETS,qwen,openai,P4,1067841243,1,[3]
50,4.1713641488162345,77.57166947723441,593,887,ETS,qwen,openai,P4,1067841243,1,[3]
200,4.284103720405862,77.57166947723441,593,887,ETS,qwen,openai,P4,1067841243,1,[3]
30,1.2036108324974923,57.230769230769226,650,997,ETS,qwen,openai,P5,959183449,1,[3]
50,2.908726178535607,63.53846153846155,650,997,ETS,qwen,openai,P5,959183449,1,[3]
200,4.212637913741224,72.3076923076923,650,997,ETS,qwen,openai,P5,959183449,1,[3]
30,4.613841524573721,71.6923076923077,650,997,ETS,qwen,openai,P5,1457248422,1,[3]
50,6.41925777331996,75.53846153846155,650,997,ETS,qwen,openai,P5,1457248422,1,[3]
200,6.41925777331996,75.53846153846155,650,997,ETS,qwen,openai,P5,1457248422,1,[3]
30,3.711133400200602,71.5372907153729,657,997,ETS,qwen,openai,P5,642571064,1,[3]
50,3.711133400200602,71.5372907153729,657,997,ETS,qwen,openai,P5,642571064,1,[3]
200,3.8114343029087263,71.68949771689498,657,997,ETS,qwen,openai,P5,642571064,1,[3]
30,5.817452357071214,75.45454545454545,660,997,ETS,qwen,openai,P5,3609844797,1,[3]
50,0.802407221664995,51.66666666666667,660,997,ETS,qwen,openai,P5,3609844797,1,[3]
200,5.516549648946841,74.69696969696969,660,997,ETS,qwen,openai,P5,3609844797,1,[3]
30,1.2036108324974923,57.230769230769226,650,997,ETS,qwen,openai,P5,1067841243,1,[3]
50,1.8054162487462388,62.30769230769231,650,997,ETS,qwen,openai,P5,1067841243,1,[3]
200,2.8084252758274824,65.38461538461539,650,997,ETS,qwen,openai,P5,1067841243,1,[3]
30,2.4390243902439024,62.80487804878049,328,492,ETS,qwen,openai,P6,959183449,1,[3]
50,2.8455284552845526,64.63414634146342,328,492,ETS,qwen,openai,P6,959183449,1,[3]
200,3.4552845528455287,67.3780487804878,328,492,ETS,qwen,openai,P6,959183449,1,[3]
30,4.878048780487805,77.32919254658384,322,492,ETS,qwen,openai,P6,1457248422,1,[3]
50,3.2520325203252036,69.56521739130434,322,492,ETS,qwen,openai,P6,1457248422,1,[3]
200,3.2520325203252036,69.56521739130434,322,492,ETS,qwen,openai,P6,1457248422,1,[3]
30,0.20325203252032523,20.06269592476489,319,492,ETS,qwen,openai,P6,642571064,1,[3]
50,6.910569105691057,80.56426332288402,319,492,ETS,qwen,openai,P6,642571064,1,[3]
200,6.300813008130081,78.68338557993731,319,492,ETS,qwen,openai,P6,642571064,1,[3]
30,1.4227642276422763,57.009345794392516,321,492,ETS,qwen,openai,P6,3609844797,1,[3]
50,5.487804878048781,71.65109034267913,321,492,ETS,qwen,openai,P6,3609844797,1,[3]
