n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
50,2.7027027027027026,50.0,130,185,LOCNESS,qwen,maryland,1067841243,4,[7]
200,2.7027027027027026,46.92307692307692,130,185,LOCNESS,qwen,maryland,1067841243,4,[7]
30,0.0,23.931623931623932,117,185,LOCNESS,qwen,maryland,959183449,5,[7]
50,9.18918918918919,64.95726495726495,117,185,LOCNESS,qwen,maryland,959183449,5,[7]
200,3.2432432432432434,44.44444444444444,117,185,LOCNESS,qwen,maryland,959183449,5,[7]
30,0.0,18.0327868852459,122,185,LOCNESS,qwen,maryland,1457248422,5,[7]
50,5.405405405405405,51.63934426229508,122,185,LOCNESS,qwen,maryland,1457248422,5,[7]
200,3.2432432432432434,41.80327868852459,122,185,LOCNESS,qwen,maryland,1457248422,5,[7]
30,5.405405405405405,56.8,125,185,LOCNESS,qwen,maryland,642571064,5,[7]
50,5.405405405405405,56.8,125,185,LOCNESS,qwen,maryland,642571064,5,[7]
200,3.783783783783784,45.6,125,185,LOCNESS,qwen,maryland,642571064,5,[7]
30,1.6216216216216217,28.24427480916031,131,185,LOCNESS,qwen,maryland,3609844797,5,[7]
50,1.6216216216216217,28.24427480916031,131,185,LOCNESS,qwen,maryland,3609844797,5,[7]
200,2.7027027027027026,42.74809160305343,131,185,LOCNESS,qwen,maryland,3609844797,5,[7]
30,0.5405405405405406,25.0,124,185,LOCNESS,qwen,maryland,1067841243,5,[7]
50,1.0810810810810811,28.225806451612907,124,185,LOCNESS,qwen,maryland,1067841243,5,[7]
200,3.2432432432432434,44.354838709677416,124,185,LOCNESS,qwen,maryland,1067841243,5,[7]
30,2.7027027027027026,30.252100840336134,119,185,LOCNESS,qwen,maryland,959183449,6,[7]
50,2.7027027027027026,30.252100840336134,119,185,LOCNESS,qwen,maryland,959183449,6,[7]
200,3.2432432432432434,32.773109243697476,119,185,LOCNESS,qwen,maryland,959183449,6,[7]
30,0.0,9.322033898305085,118,185,LOCNESS,qwen,maryland,1457248422,6,[7]
50,3.2432432432432434,29.66101694915254,118,185,LOCNESS,qwen,maryland,1457248422,6,[7]
200,3.2432432432432434,29.66101694915254,118,185,LOCNESS,qwen,maryland,1457248422,6,[7]
30,9.18918918918919,50.0,122,185,LOCNESS,qwen,maryland,642571064,6,[7]
50,9.72972972972973,53.278688524590166,122,185,LOCNESS,qwen,maryland,642571064,6,[7]
200,7.567567567567568,36.0655737704918,122,185,LOCNESS,qwen,maryland,642571064,6,[7]
30,10.81081081081081,51.2,125,185,LOCNESS,qwen,maryland,3609844797,6,[7]
50,10.81081081081081,51.2,125,185,LOCNESS,qwen,maryland,3609844797,6,[7]
200,5.405405405405405,32.0,125,185,LOCNESS,qwen,maryland,3609844797,6,[7]
30,1.0810810810810811,19.852941176470587,136,185,LOCNESS,qwen,maryland,1067841243,6,[7]
50,2.7027027027027026,27.205882352941174,136,185,LOCNESS,qwen,maryland,1067841243,6,[7]
200,1.0810810810810811,23.52941176470588,136,185,LOCNESS,qwen,maryland,1067841243,6,[7]
