n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
200,1.6216216216216217,14.545454545454545,55,185,LOCNESS,phi,maryland,3609844797,4,[5]
30,1.6216216216216217,2.7027027027027026,37,185,LOCNESS,phi,maryland,1067841243,4,[5]
50,2.1621621621621623,5.405405405405405,37,185,LOCNESS,phi,maryland,1067841243,4,[5]
200,2.1621621621621623,18.91891891891892,37,185,LOCNESS,phi,maryland,1067841243,4,[5]
30,3.2432432432432434,27.586206896551722,29,185,LOCNESS,phi,maryland,959183449,4,[6]
50,4.864864864864865,41.37931034482759,29,185,LOCNESS,phi,maryland,959183449,4,[6]
200,6.486486486486487,55.172413793103445,29,185,LOCNESS,phi,maryland,959183449,4,[6]
30,1.0810810810810811,10.0,20,185,LOCNESS,phi,maryland,642571064,4,[6]
50,1.6216216216216217,20.0,20,185,LOCNESS,phi,maryland,642571064,4,[6]
200,3.2432432432432434,45.0,20,185,LOCNESS,phi,maryland,642571064,4,[6]
30,0.0,4.166666666666666,24,185,LOCNESS,phi,maryland,3609844797,4,[6]
50,0.5405405405405406,4.166666666666666,24,185,LOCNESS,phi,maryland,3609844797,4,[6]
200,1.6216216216216217,29.166666666666668,24,185,LOCNESS,phi,maryland,3609844797,4,[6]
30,1.6216216216216217,11.76470588235294,17,185,LOCNESS,phi,maryland,1067841243,4,[6]
50,2.1621621621621623,35.294117647058826,17,185,LOCNESS,phi,maryland,1067841243,4,[6]
200,2.1621621621621623,35.294117647058826,17,185,LOCNESS,phi,maryland,1067841243,4,[6]
30,3.2432432432432434,71.03825136612022,183,185,LOCNESS,phi,maryland,959183449,4,[7]
50,4.864864864864865,85.24590163934425,183,185,LOCNESS,phi,maryland,959183449,4,[7]
200,6.486486486486487,90.7103825136612,183,185,LOCNESS,phi,maryland,959183449,4,[7]
30,2.1621621621621623,71.17647058823529,170,185,LOCNESS,phi,maryland,1457248422,4,[7]
50,2.1621621621621623,74.70588235294117,170,185,LOCNESS,phi,maryland,1457248422,4,[7]
200,2.1621621621621623,84.70588235294117,170,185,LOCNESS,phi,maryland,1457248422,4,[7]
30,1.0810810810810811,59.42857142857143,175,185,LOCNESS,phi,maryland,642571064,4,[7]
50,1.6216216216216217,71.42857142857143,175,185,LOCNESS,phi,maryland,642571064,4,[7]
200,3.2432432432432434,84.0,175,185,LOCNESS,phi,maryland,642571064,4,[7]
30,0.0,31.521739130434785,184,185,LOCNESS,phi,maryland,3609844797,4,[7]
50,0.5405405405405406,40.21739130434783,184,185,LOCNESS,phi,maryland,3609844797,4,[7]
200,1.6216216216216217,80.43478260869566,184,185,LOCNESS,phi,maryland,3609844797,4,[7]
30,1.6216216216216217,64.04494382022472,178,185,LOCNESS,phi,maryland,1067841243,4,[7]
50,2.1621621621621623,74.15730337078652,178,185,LOCNESS,phi,maryland,1067841243,4,[7]
200,2.1621621621621623,82.02247191011236,178,185,LOCNESS,phi,maryland,1067841243,4,[7]
30,0.0,55.23809523809524,105,185,LOCNESS,phi,maryland,959183449,5,[7]
50,0.5405405405405406,64.76190476190476,105,185,LOCNESS,phi,maryland,959183449,5,[7]
200,1.6216216216216217,82.85714285714286,105,185,LOCNESS,phi,maryland,959183449,5,[7]
30,4.864864864864865,92.38095238095238,105,185,LOCNESS,phi,maryland,1457248422,5,[7]
50,4.864864864864865,92.38095238095238,105,185,LOCNESS,phi,maryland,1457248422,5,[7]
200,1.6216216216216217,82.85714285714286,105,185,LOCNESS,phi,maryland,1457248422,5,[7]
30,2.1621621621621623,74.76635514018692,107,185,LOCNESS,phi,maryland,642571064,5,[7]
50,2.1621621621621623,76.63551401869158,107,185,LOCNESS,phi,maryland,642571064,5,[7]
200,2.1621621621621623,76.63551401869158,107,185,LOCNESS,phi,maryland,642571064,5,[7]
30,0.0,56.25,80,185,LOCNESS,phi,maryland,3609844797,5,[7]
50,4.324324324324325,90.0,80,185,LOCNESS,phi,maryland,3609844797,5,[7]
200,4.324324324324325,90.0,80,185,LOCNESS,phi,maryland,3609844797,5,[7]
30,1.6216216216216217,78.26086956521739,69,185,LOCNESS,phi,maryland,1067841243,5,[7]
50,1.6216216216216217,78.26086956521739,69,185,LOCNESS,phi,maryland,1067841243,5,[7]
200,1.6216216216216217,78.26086956521739,69,185,LOCNESS,phi,maryland,1067841243,5,[7]
30,7.027027027027027,4.3478260869565215,23,185,LOCNESS,phi,maryland,959183449,6,[5]
50,8.64864864864865,17.391304347826086,23,185,LOCNESS,phi,maryland,959183449,6,[5]
200,6.486486486486487,4.3478260869565215,23,185,LOCNESS,phi,maryland,959183449,6,[5]
30,11.351351351351353,31.57894736842105,19,185,LOCNESS,phi,maryland,1457248422,6,[5]
50,10.81081081081081,26.31578947368421,19,185,LOCNESS,phi,maryland,1457248422,6,[5]
200,6.486486486486487,10.526315789473683,19,185,LOCNESS,phi,maryland,1457248422,6,[5]
30,1.6216216216216217,0.0,22,185,LOCNESS,phi,maryland,642571064,6,[5]
50,1.6216216216216217,0.0,22,185,LOCNESS,phi,maryland,642571064,6,[5]
200,3.2432432432432434,4.545454545454546,22,185,LOCNESS,phi,maryland,642571064,6,[5]
30,3.2432432432432434,10.526315789473683,38,185,LOCNESS,phi,maryland,3609844797,6,[5]
50,4.864864864864865,13.157894736842104,38,185,LOCNESS,phi,maryland,3609844797,6,[5]
200,3.2432432432432434,10.526315789473683,38,185,LOCNESS,phi,maryland,3609844797,6,[5]
