n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
30,Combined Weighted (mean),6.3969896519285045,47.05882352941176,ETS,qwen,openai,P8,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P1,642571064,1,[2]
5,Combined Unweighted,9.5703125,61.92307692307693,ETS,qwen,openai,P1,642571064,1,[2]
5,Combined Weighted (quantile),4.1015625,43.07692307692308,ETS,qwen,openai,P1,642571064,1,[2]
5,Combined Weighted (mean),7.2265625,53.84615384615385,ETS,qwen,openai,P1,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P1,642571064,1,[2]
15,Combined Unweighted,9.5703125,61.92307692307693,ETS,qwen,openai,P1,642571064,1,[2]
15,Combined Weighted (quantile),9.5703125,61.92307692307693,ETS,qwen,openai,P1,642571064,1,[2]
15,Combined Weighted (mean),7.2265625,53.84615384615385,ETS,qwen,openai,P1,642571064,1,[2]
30,In Distribution Only,2.1484375,30.76923076923077,ETS,qwen,openai,P1,642571064,1,[2]
30,Combined Unweighted,9.5703125,61.92307692307693,ETS,qwen,openai,P1,642571064,1,[2]
30,Combined Weighted (quantile),2.05078125,33.07692307692307,ETS,qwen,openai,P1,642571064,1,[2]
30,Combined Weighted (mean),4.1015625,43.07692307692308,ETS,qwen,openai,P1,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P2,642571064,1,[2]
5,Combined Unweighted,10.914760914760915,61.53846153846154,ETS,qwen,openai,P2,642571064,1,[2]
5,Combined Weighted (quantile),9.147609147609147,56.04395604395605,ETS,qwen,openai,P2,642571064,1,[2]
5,Combined Weighted (mean),10.914760914760915,61.53846153846154,ETS,qwen,openai,P2,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P2,642571064,1,[2]
15,Combined Unweighted,10.083160083160084,58.24175824175825,ETS,qwen,openai,P2,642571064,1,[2]
15,Combined Weighted (quantile),2.702702702702702,29.120879120879124,ETS,qwen,openai,P2,642571064,1,[2]
15,Combined Weighted (mean),2.9106029106029108,29.120879120879124,ETS,qwen,openai,P2,642571064,1,[2]
30,In Distribution Only,3.2224532224532227,37.362637362637365,ETS,qwen,openai,P2,642571064,1,[2]
30,Combined Unweighted,9.875259875259877,58.24175824175825,ETS,qwen,openai,P2,642571064,1,[2]
30,Combined Weighted (quantile),4.365904365904366,44.505494505494504,ETS,qwen,openai,P2,642571064,1,[2]
