n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
200,9.18918918918919,90.78947368421053,76,185,LOCNESS,phi,openai,1067841243,2,[6]
30,3.2432432432432434,100.0,185,185,LOCNESS,phi,openai,959183449,2,[7]
50,3.2432432432432434,100.0,185,185,LOCNESS,phi,openai,959183449,2,[7]
200,4.864864864864865,100.0,185,185,LOCNESS,phi,openai,959183449,2,[7]
30,1.6216216216216217,99.45945945945947,185,185,LOCNESS,phi,openai,1457248422,2,[7]
50,4.324324324324325,99.45945945945947,185,185,LOCNESS,phi,openai,1457248422,2,[7]
200,5.405405405405405,99.45945945945947,185,185,LOCNESS,phi,openai,1457248422,2,[7]
30,0.5405405405405406,100.0,185,185,LOCNESS,phi,openai,642571064,2,[7]
50,0.5405405405405406,100.0,185,185,LOCNESS,phi,openai,642571064,2,[7]
200,5.405405405405405,100.0,185,185,LOCNESS,phi,openai,642571064,2,[7]
30,9.18918918918919,100.0,185,185,LOCNESS,phi,openai,3609844797,2,[7]
50,11.351351351351353,100.0,185,185,LOCNESS,phi,openai,3609844797,2,[7]
200,7.027027027027027,100.0,185,185,LOCNESS,phi,openai,3609844797,2,[7]
30,0.5405405405405406,97.2972972972973,185,185,LOCNESS,phi,openai,1067841243,2,[7]
50,9.72972972972973,100.0,185,185,LOCNESS,phi,openai,1067841243,2,[7]
200,9.18918918918919,100.0,185,185,LOCNESS,phi,openai,1067841243,2,[7]
30,0.0,30.0,20,185,LOCNESS,phi,openai,959183449,3,[4]
50,3.783783783783784,80.0,20,185,LOCNESS,phi,openai,959183449,3,[4]
200,5.9459459459459465,90.0,20,185,LOCNESS,phi,openai,959183449,3,[4]
30,3.2432432432432434,73.68421052631578,19,185,LOCNESS,phi,openai,1457248422,3,[4]
50,1.0810810810810811,47.368421052631575,19,185,LOCNESS,phi,openai,1457248422,3,[4]
200,2.7027027027027026,73.68421052631578,19,185,LOCNESS,phi,openai,1457248422,3,[4]
30,2.7027027027027026,50.0,16,185,LOCNESS,phi,openai,3609844797,3,[4]
50,3.783783783783784,68.75,16,185,LOCNESS,phi,openai,3609844797,3,[4]
200,3.2432432432432434,68.75,16,185,LOCNESS,phi,openai,3609844797,3,[4]
30,0.5405405405405406,33.33333333333333,18,185,LOCNESS,phi,openai,1067841243,3,[4]
50,5.405405405405405,83.33333333333334,18,185,LOCNESS,phi,openai,1067841243,3,[4]
200,4.864864864864865,77.77777777777779,18,185,LOCNESS,phi,openai,1067841243,3,[4]
30,0.0,12.0,75,185,LOCNESS,phi,openai,959183449,3,[5]
50,3.783783783783784,49.333333333333336,75,185,LOCNESS,phi,openai,959183449,3,[5]
200,5.9459459459459465,66.66666666666666,75,185,LOCNESS,phi,openai,959183449,3,[5]
30,3.2432432432432434,55.714285714285715,70,185,LOCNESS,phi,openai,1457248422,3,[5]
50,1.0810810810810811,34.285714285714285,70,185,LOCNESS,phi,openai,1457248422,3,[5]
200,2.7027027027027026,54.285714285714285,70,185,LOCNESS,phi,openai,1457248422,3,[5]
30,1.6216216216216217,44.44444444444444,54,185,LOCNESS,phi,openai,642571064,3,[5]
50,4.324324324324325,77.77777777777779,54,185,LOCNESS,phi,openai,642571064,3,[5]
200,4.864864864864865,79.62962962962963,54,185,LOCNESS,phi,openai,642571064,3,[5]
30,2.7027027027027026,44.776119402985074,67,185,LOCNESS,phi,openai,3609844797,3,[5]
50,3.783783783783784,55.223880597014926,67,185,LOCNESS,phi,openai,3609844797,3,[5]
200,3.2432432432432434,55.223880597014926,67,185,LOCNESS,phi,openai,3609844797,3,[5]
30,0.5405405405405406,36.84210526315789,57,185,LOCNESS,phi,openai,1067841243,3,[5]
50,5.405405405405405,77.19298245614034,57,185,LOCNESS,phi,openai,1067841243,3,[5]
200,4.864864864864865,70.17543859649122,57,185,LOCNESS,phi,openai,1067841243,3,[5]
30,0.0,26.666666666666668,60,185,LOCNESS,phi,openai,959183449,3,[6]
50,3.783783783783784,71.66666666666667,60,185,LOCNESS,phi,openai,959183449,3,[6]
200,5.9459459459459465,90.0,60,185,LOCNESS,phi,openai,959183449,3,[6]
30,3.2432432432432434,79.41176470588235,68,185,LOCNESS,phi,openai,1457248422,3,[6]
50,1.0810810810810811,58.82352941176471,68,185,LOCNESS,phi,openai,1457248422,3,[6]
200,2.7027027027027026,77.94117647058823,68,185,LOCNESS,phi,openai,1457248422,3,[6]
30,1.6216216216216217,57.49999999999999,40,185,LOCNESS,phi,openai,642571064,3,[6]
50,4.324324324324325,92.5,40,185,LOCNESS,phi,openai,642571064,3,[6]
200,4.864864864864865,95.0,40,185,LOCNESS,phi,openai,642571064,3,[6]
30,2.7027027027027026,76.78571428571429,56,185,LOCNESS,phi,openai,3609844797,3,[6]
50,3.783783783783784,87.5,56,185,LOCNESS,phi,openai,3609844797,3,[6]
200,3.2432432432432434,83.92857142857143,56,185,LOCNESS,phi,openai,3609844797,3,[6]
30,0.5405405405405406,53.48837209302325,43,185,LOCNESS,phi,openai,1067841243,3,[6]
50,5.405405405405405,95.34883720930233,43,185,LOCNESS,phi,openai,1067841243,3,[6]
200,4.864864864864865,95.34883720930233,43,185,LOCNESS,phi,openai,1067841243,3,[6]
30,0.0,94.5945945945946,185,185,LOCNESS,phi,openai,959183449,3,[7]
50,3.783783783783784,100.0,185,185,LOCNESS,phi,openai,959183449,3,[7]
200,5.9459459459459465,100.0,185,185,LOCNESS,phi,openai,959183449,3,[7]
30,3.2432432432432434,99.45945945945947,185,185,LOCNESS,phi,openai,1457248422,3,[7]
50,1.0810810810810811,98.91891891891892,185,185,LOCNESS,phi,openai,1457248422,3,[7]
200,2.7027027027027026,99.45945945945947,185,185,LOCNESS,phi,openai,1457248422,3,[7]
30,1.6216216216216217,99.45945945945947,185,185,LOCNESS,phi,openai,642571064,3,[7]
50,4.324324324324325,100.0,185,185,LOCNESS,phi,openai,642571064,3,[7]
200,4.864864864864865,100.0,185,185,LOCNESS,phi,openai,642571064,3,[7]
30,2.7027027027027026,99.45945945945947,185,185,LOCNESS,phi,openai,3609844797,3,[7]
50,3.783783783783784,99.45945945945947,185,185,LOCNESS,phi,openai,3609844797,3,[7]
200,3.2432432432432434,99.45945945945947,185,185,LOCNESS,phi,openai,3609844797,3,[7]
30,0.5405405405405406,96.75675675675676,185,185,LOCNESS,phi,openai,1067841243,3,[7]
50,5.405405405405405,99.45945945945947,185,185,LOCNESS,phi,openai,1067841243,3,[7]
200,4.864864864864865,99.45945945945947,185,185,LOCNESS,phi,openai,1067841243,3,[7]
30,1.0810810810810811,0.0,30,185,LOCNESS,phi,openai,959183449,4,[5]
50,1.0810810810810811,0.0,30,185,LOCNESS,phi,openai,959183449,4,[5]
200,8.64864864864865,76.66666666666667,30,185,LOCNESS,phi,openai,959183449,4,[5]
30,0.0,0.0,36,185,LOCNESS,phi,openai,1457248422,4,[5]
50,1.6216216216216217,8.333333333333332,36,185,LOCNESS,phi,openai,1457248422,4,[5]
200,4.864864864864865,47.22222222222222,36,185,LOCNESS,phi,openai,1457248422,4,[5]
30,0.0,0.0,45,185,LOCNESS,phi,openai,642571064,4,[5]
50,0.0,2.2222222222222223,45,185,LOCNESS,phi,openai,642571064,4,[5]
200,3.2432432432432434,55.55555555555556,45,185,LOCNESS,phi,openai,642571064,4,[5]
30,0.0,0.0,43,185,LOCNESS,phi,openai,3609844797,4,[5]
50,4.324324324324325,41.86046511627907,43,185,LOCNESS,phi,openai,3609844797,4,[5]
200,2.1621621621621623,37.2093023255814,43,185,LOCNESS,phi,openai,3609844797,4,[5]
30,0.5405405405405406,2.857142857142857,35,185,LOCNESS,phi,openai,1067841243,4,[5]
50,0.5405405405405406,2.857142857142857,35,185,LOCNESS,phi,openai,1067841243,4,[5]
200,8.64864864864865,68.57142857142857,35,185,LOCNESS,phi,openai,1067841243,4,[5]
30,1.0810810810810811,5.555555555555555,18,185,LOCNESS,phi,openai,959183449,4,[6]
50,1.0810810810810811,5.555555555555555,18,185,LOCNESS,phi,openai,959183449,4,[6]
200,8.64864864864865,94.44444444444444,18,185,LOCNESS,phi,openai,959183449,4,[6]
30,0.0,0.0,24,185,LOCNESS,phi,openai,1457248422,4,[6]
50,1.6216216216216217,16.666666666666664,24,185,LOCNESS,phi,openai,1457248422,4,[6]
200,4.864864864864865,62.5,24,185,LOCNESS,phi,openai,1457248422,4,[6]
30,0.0,0.0,27,185,LOCNESS,phi,openai,642571064,4,[6]
50,0.0,11.11111111111111,27,185,LOCNESS,phi,openai,642571064,4,[6]
200,3.2432432432432434,70.37037037037037,27,185,LOCNESS,phi,openai,642571064,4,[6]
30,0.0,0.0,30,185,LOCNESS,phi,openai,3609844797,4,[6]
50,4.324324324324325,70.0,30,185,LOCNESS,phi,openai,3609844797,4,[6]
200,2.1621621621621623,60.0,30,185,LOCNESS,phi,openai,3609844797,4,[6]
30,0.5405405405405406,4.3478260869565215,23,185,LOCNESS,phi,openai,1067841243,4,[6]
50,0.5405405405405406,4.3478260869565215,23,185,LOCNESS,phi,openai,1067841243,4,[6]
