n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
15,Combined Weighted (quantile),3.1984948259642523,46.766169154228855,ETS,phi,openai,P8,1457248422,1,[2]
15,Combined Weighted (mean),4.51552210724365,55.72139303482587,ETS,phi,openai,P8,1457248422,1,[2]
30,In Distribution Only,0.658513640639699,28.35820895522388,ETS,phi,openai,P8,1457248422,1,[2]
30,Combined Unweighted,10.630291627469427,71.64179104477611,ETS,phi,openai,P8,1457248422,1,[2]
30,Combined Weighted (quantile),1.4111006585136407,33.83084577114428,ETS,phi,openai,P8,1457248422,1,[2]
30,Combined Weighted (mean),2.8222013170272815,40.79601990049751,ETS,phi,openai,P8,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P1,642571064,1,[2]
5,Combined Unweighted,13.18359375,62.22222222222222,ETS,phi,openai,P1,642571064,1,[2]
5,Combined Weighted (quantile),10.44921875,57.77777777777777,ETS,phi,openai,P1,642571064,1,[2]
5,Combined Weighted (mean),10.44921875,57.77777777777777,ETS,phi,openai,P1,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P1,642571064,1,[2]
15,Combined Unweighted,11.9140625,61.77777777777778,ETS,phi,openai,P1,642571064,1,[2]
15,Combined Weighted (quantile),6.640625,49.77777777777778,ETS,phi,openai,P1,642571064,1,[2]
15,Combined Weighted (mean),6.8359375,50.22222222222222,ETS,phi,openai,P1,642571064,1,[2]
30,In Distribution Only,4.4921875,43.111111111111114,ETS,phi,openai,P1,642571064,1,[2]
30,Combined Unweighted,11.42578125,60.88888888888889,ETS,phi,openai,P1,642571064,1,[2]
30,Combined Weighted (quantile),7.03125,51.55555555555556,ETS,phi,openai,P1,642571064,1,[2]
30,Combined Weighted (mean),7.03125,51.55555555555556,ETS,phi,openai,P1,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P2,642571064,1,[2]
5,Combined Unweighted,14.033264033264034,75.23364485981308,ETS,phi,openai,P2,642571064,1,[2]
5,Combined Weighted (quantile),4.054054054054054,54.67289719626168,ETS,phi,openai,P2,642571064,1,[2]
5,Combined Weighted (mean),11.954261954261955,72.42990654205607,ETS,phi,openai,P2,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P2,642571064,1,[2]
15,Combined Unweighted,13.201663201663202,74.29906542056075,ETS,phi,openai,P2,642571064,1,[2]
15,Combined Weighted (quantile),4.054054054054054,54.67289719626168,ETS,phi,openai,P2,642571064,1,[2]
15,Combined Weighted (mean),4.054054054054054,54.67289719626168,ETS,phi,openai,P2,642571064,1,[2]
30,In Distribution Only,0.8316008316008316,37.850467289719624,ETS,phi,openai,P2,642571064,1,[2]
30,Combined Unweighted,12.058212058212058,72.42990654205607,ETS,phi,openai,P2,642571064,1,[2]
30,Combined Weighted (quantile),5.197505197505198,60.747663551401864,ETS,phi,openai,P2,642571064,1,[2]
30,Combined Weighted (mean),4.054054054054054,55.60747663551402,ETS,phi,openai,P2,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P3,642571064,1,[2]
5,Combined Unweighted,14.942528735632186,76.50602409638554,ETS,phi,openai,P3,642571064,1,[2]
5,Combined Weighted (quantile),2.1711366538952745,44.57831325301205,ETS,phi,openai,P3,642571064,1,[2]
5,Combined Weighted (mean),4.342273307790549,53.01204819277109,ETS,phi,openai,P3,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P3,642571064,1,[2]
15,Combined Unweighted,16.347381864623244,76.50602409638554,ETS,phi,openai,P3,642571064,1,[2]
