n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
15,Combined Unweighted,8.004509582863585,39.20704845814978,ETS,qwen,maryland,P4,1457248422,1,[2]
15,Combined Weighted (quantile),1.6910935738444193,14.096916299559473,ETS,qwen,maryland,P4,1457248422,1,[2]
15,Combined Weighted (mean),1.3528748590755355,13.215859030837004,ETS,qwen,maryland,P4,1457248422,1,[2]
30,In Distribution Only,1.3528748590755355,13.215859030837004,ETS,qwen,maryland,P4,1457248422,1,[2]
30,Combined Unweighted,7.891770011273957,39.20704845814978,ETS,qwen,maryland,P4,1457248422,1,[2]
30,Combined Weighted (quantile),4.735062006764374,31.277533039647576,ETS,qwen,maryland,P4,1457248422,1,[2]
30,Combined Weighted (mean),3.3821871476888385,22.90748898678414,ETS,qwen,maryland,P4,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P5,1457248422,1,[2]
5,Combined Unweighted,6.318956870611836,36.75213675213676,ETS,qwen,maryland,P5,1457248422,1,[2]
5,Combined Weighted (quantile),1.8054162487462388,18.37606837606838,ETS,qwen,maryland,P5,1457248422,1,[2]
5,Combined Weighted (mean),3.009027081243731,24.35897435897436,ETS,qwen,maryland,P5,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P5,1457248422,1,[2]
15,Combined Unweighted,6.318956870611836,37.17948717948718,ETS,qwen,maryland,P5,1457248422,1,[2]
15,Combined Weighted (quantile),4.914744232698094,33.33333333333333,ETS,qwen,maryland,P5,1457248422,1,[2]
15,Combined Weighted (mean),5.015045135406218,33.76068376068376,ETS,qwen,maryland,P5,1457248422,1,[2]
30,In Distribution Only,3.1093279839518555,24.35897435897436,ETS,qwen,maryland,P5,1457248422,1,[2]
30,Combined Unweighted,6.318956870611836,36.75213675213676,ETS,qwen,maryland,P5,1457248422,1,[2]
30,Combined Weighted (quantile),6.118355065195587,35.47008547008547,ETS,qwen,maryland,P5,1457248422,1,[2]
30,Combined Weighted (mean),5.015045135406218,33.76068376068376,ETS,qwen,maryland,P5,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P6,1457248422,1,[2]
5,Combined Unweighted,5.487804878048781,39.34426229508197,ETS,qwen,maryland,P6,1457248422,1,[2]
5,Combined Weighted (quantile),1.2195121951219512,16.39344262295082,ETS,qwen,maryland,P6,1457248422,1,[2]
5,Combined Weighted (mean),4.67479674796748,35.24590163934426,ETS,qwen,maryland,P6,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P6,1457248422,1,[2]
15,Combined Unweighted,5.487804878048781,39.34426229508197,ETS,qwen,maryland,P6,1457248422,1,[2]
15,Combined Weighted (quantile),0.8130081300813009,10.655737704918032,ETS,qwen,maryland,P6,1457248422,1,[2]
15,Combined Weighted (mean),0.6097560975609756,4.918032786885246,ETS,qwen,maryland,P6,1457248422,1,[2]
30,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P6,1457248422,1,[2]
30,Combined Unweighted,5.487804878048781,39.34426229508197,ETS,qwen,maryland,P6,1457248422,1,[2]
30,Combined Weighted (quantile),2.032520325203252,14.754098360655735,ETS,qwen,maryland,P6,1457248422,1,[2]
30,Combined Weighted (mean),2.032520325203252,13.934426229508196,ETS,qwen,maryland,P6,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P7,1457248422,1,[2]
5,Combined Unweighted,8.921933085501859,41.63265306122449,ETS,qwen,maryland,P7,1457248422,1,[2]
