n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
5,Combined Weighted (mean),4.089219330855019,45.936395759717314,ETS,phi,maryland,P7,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P7,1457248422,1,[2]
15,Combined Unweighted,9.66542750929368,63.95759717314488,ETS,phi,maryland,P7,1457248422,1,[2]
15,Combined Weighted (quantile),4.182156133828997,45.936395759717314,ETS,phi,maryland,P7,1457248422,1,[2]
15,Combined Weighted (mean),4.182156133828997,45.936395759717314,ETS,phi,maryland,P7,1457248422,1,[2]
30,In Distribution Only,1.6728624535315983,35.3356890459364,ETS,phi,maryland,P7,1457248422,1,[2]
30,Combined Unweighted,9.200743494423792,63.95759717314488,ETS,phi,maryland,P7,1457248422,1,[2]
30,Combined Weighted (quantile),4.182156133828997,45.936395759717314,ETS,phi,maryland,P7,1457248422,1,[2]
30,Combined Weighted (mean),4.646840148698884,46.996466431095406,ETS,phi,maryland,P7,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P8,1457248422,1,[2]
5,Combined Unweighted,7.714016933207903,52.76595744680851,ETS,phi,maryland,P8,1457248422,1,[2]
5,Combined Weighted (quantile),1.2229539040451554,29.361702127659573,ETS,phi,maryland,P8,1457248422,1,[2]
5,Combined Weighted (mean),2.1636876763875823,34.46808510638298,ETS,phi,maryland,P8,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P8,1457248422,1,[2]
15,Combined Unweighted,7.714016933207903,52.76595744680851,ETS,phi,maryland,P8,1457248422,1,[2]
15,Combined Weighted (quantile),2.06961429915334,34.46808510638298,ETS,phi,maryland,P8,1457248422,1,[2]
15,Combined Weighted (mean),1.1288805268109126,28.510638297872344,ETS,phi,maryland,P8,1457248422,1,[2]
30,In Distribution Only,0.3762935089369708,14.893617021276595,ETS,phi,maryland,P8,1457248422,1,[2]
30,Combined Unweighted,7.714016933207903,52.76595744680851,ETS,phi,maryland,P8,1457248422,1,[2]
30,Combined Weighted (quantile),5.174035747883349,48.08510638297872,ETS,phi,maryland,P8,1457248422,1,[2]
30,Combined Weighted (mean),2.1636876763875823,34.46808510638298,ETS,phi,maryland,P8,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P1,642571064,1,[2]
5,Combined Unweighted,7.91015625,51.8796992481203,ETS,phi,maryland,P1,642571064,1,[2]
5,Combined Weighted (quantile),6.34765625,49.62406015037594,ETS,phi,maryland,P1,642571064,1,[2]
5,Combined Weighted (mean),7.421875,51.8796992481203,ETS,phi,maryland,P1,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P1,642571064,1,[2]
