n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
50,11.891891891891893,100.0,185,185,LOCNESS,qwen,openai,1457248422,2,[7]
200,5.9459459459459465,98.91891891891892,185,185,LOCNESS,qwen,openai,1457248422,2,[7]
30,5.9459459459459465,98.91891891891892,185,185,LOCNESS,qwen,openai,642571064,2,[7]
50,5.9459459459459465,98.91891891891892,185,185,LOCNESS,qwen,openai,642571064,2,[7]
200,3.783783783783784,98.91891891891892,185,185,LOCNESS,qwen,openai,642571064,2,[7]
30,0.0,96.75675675675676,185,185,LOCNESS,qwen,openai,3609844797,2,[7]
50,0.0,96.75675675675676,185,185,LOCNESS,qwen,openai,3609844797,2,[7]
200,2.1621621621621623,98.91891891891892,185,185,LOCNESS,qwen,openai,3609844797,2,[7]
30,1.6216216216216217,96.75675675675676,185,185,LOCNESS,qwen,openai,1067841243,2,[7]
50,2.1621621621621623,97.83783783783784,185,185,LOCNESS,qwen,openai,1067841243,2,[7]
200,4.324324324324325,99.45945945945947,185,185,LOCNESS,qwen,openai,1067841243,2,[7]
30,1.6216216216216217,27.77777777777778,18,185,LOCNESS,qwen,openai,3609844797,3,[4]
50,4.324324324324325,72.22222222222221,18,185,LOCNESS,qwen,openai,3609844797,3,[4]
200,5.405405405405405,72.22222222222221,18,185,LOCNESS,qwen,openai,3609844797,3,[4]
30,4.864864864864865,78.94736842105263,19,185,LOCNESS,qwen,openai,1067841243,3,[4]
50,5.405405405405405,78.94736842105263,19,185,LOCNESS,qwen,openai,1067841243,3,[4]
200,4.864864864864865,78.94736842105263,19,185,LOCNESS,qwen,openai,1067841243,3,[4]
30,9.72972972972973,50.0,42,185,LOCNESS,qwen,openai,959183449,3,[5]
50,10.27027027027027,52.38095238095239,42,185,LOCNESS,qwen,openai,959183449,3,[5]
200,2.1621621621621623,28.57142857142857,42,185,LOCNESS,qwen,openai,959183449,3,[5]
30,1.0810810810810811,10.869565217391305,46,185,LOCNESS,qwen,openai,1457248422,3,[5]
50,2.7027027027027026,32.608695652173914,46,185,LOCNESS,qwen,openai,1457248422,3,[5]
200,5.405405405405405,45.65217391304348,46,185,LOCNESS,qwen,openai,1457248422,3,[5]
30,0.0,2.0,50,185,LOCNESS,qwen,openai,642571064,3,[5]
50,0.5405405405405406,18.0,50,185,LOCNESS,qwen,openai,642571064,3,[5]
200,3.783783783783784,20.0,50,185,LOCNESS,qwen,openai,642571064,3,[5]
